Name,Phone_Number,Email,gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,Attendance_Drop,Months_Served,Age_at_Joining
Yashasvi Dash,No Number Provided,yashasvi.dash@gmail.com,1,1,1,1,0,6,1,29,14.227470422861144,5.0,3,0.0203979476208577,0.0,0,0.0203979476208577,1.0,28.8
Aishani Ravi,00963398181,aishani.ravi@gmail.com,0,1,0,0,1,12,1,31,113.2029376510582,12.0,7,1.9229360550418195,1.9102435215196407,0,0.012692533522178806,0.0,30.4
Yashica Palla,8528332048,yashica.palla@gmail.com,0,1,1,0,1,1,0,28,129.44847933200614,1.0,2,1.8590983473832376,1.7365018916344137,0,0.12259645574882394,0.0,27.8
Vansha Zacharia,+917966708911,vansha.zacharia@hotmail.com,0,1,1,1,1,12,1,33,62.66986319123829,12.0,2,3.2056327682385,3.3572145130526616,0,-0.15158174481416165,0.0,32.8
Isha Bahri,5319049566,isha.bahri@hotmail.com,1,1,1,1,1,1,0,26,198.36226543903683,1.0,3,1.1138844004257795,1.120078107422207,0,-0.006193706996427517,0.0,25.8
Widisha Sabharwal,00012347763,widisha.sabharwal@yahoo.com,1,1,0,0,1,1,1,34,450.7439599104914,1.0,3,2.6234768072839807,2.6370069647681804,0,-0.013530157484199723,0.0,33.8
Daksh Hegde,No Number Provided,daksh.hegde@gmail.com,1,1,1,1,0,6,1,32,94.2663885148517,6.0,2,1.138941228411322,1.2772416305372298,0,-0.13830040212590777,0.0,31.8
Om Baria,5677064965,om.baria@hotmail.com,0,1,0,0,1,1,0,30,217.78664105008903,1.0,0,1.2135019626583017,1.0493871451868677,1,0.16411481747143397,0.0,30.0
Daniel Sani,+916478874713,daniel.sani@yahoo.com,1,1,1,1,1,1,1,23,45.40990920299768,1.0,1,1.106238932529013,1.059332976736446,0,0.046905955792566845,0.0,22.9
Yashodhara Acharya,02435121275,yashodhara.acharya@yahoo.com,0,1,0,0,1,1,0,31,65.31083634086433,1.0,11,1.81085190458252,1.9513676552017305,0,-0.1405157506192105,0.0,30.1
Warda Pathak,No Number Provided,warda.pathak@gmail.com,0,1,0,0,0,6,1,32,229.70894524511127,6.0,3,1.6411796616862384,1.36771396663351,0,0.27346569505272833,0.0,31.8
Yashica Raghavan,+917452611950,yashica.raghavan@hotmail.com,1,1,1,0,1,1,0,27,266.7838237446521,1.0,2,2.3485353357599856,1.5843158272716689,1,0.7642195084883168,0.0,26.8
Tarak Chandra,8765761306,tarak.chandra@hotmail.com,0,1,1,1,1,1,1,33,148.41805281528684,1.0,4,3.3686057499800075,3.3918531715752978,0,-0.023247421595290252,0.0,32.7
Naveen Patel,0193266526,naveen.patel@yahoo.com,1,1,0,0,1,1,1,27,152.74866849929762,1.0,1,0.0,0.0,1,0.0,0.0,26.9
Arin Choudhury,5565175885,arin.choudhury@hotmail.com,0,1,0,0,1,6,0,35,209.8881331905138,3.0,8,1.978083818026388,2.117349155762039,0,-0.1392653377356512,3.0,34.3
Ojasvi Taneja,03157902659,ojasvi.taneja@gmail.com,0,1,1,1,1,12,0,29,101.37260415417305,10.0,4,2.850402196472184,2.836455259119332,0,0.013946937352852018,2.0,28.7
Baljiwan Dhingra,0024510592,baljiwan.dhingra@yahoo.com,0,1,1,1,1,1,1,31,11.975295259522357,1.0,0,3.3422611433294565,3.2062232230844008,0,0.13603792024505568,0.0,31.0
Udyati Morar,07393098912,udyati.morar@gmail.com,0,1,0,1,1,6,1,29,92.78741424476028,5.0,1,0.6644824749922384,0.6099452944797018,0,0.05453718051253664,1.0,28.9
Devika Dalal,+918661983608,devika.dalal@gmail.com,0,1,0,0,1,1,1,30,97.80431525583174,1.0,8,1.50707557553785,1.5787380483152962,0,-0.0716624727774462,0.0,29.3
Meghana Chad,8497240055,meghana.chad@yahoo.com,1,1,1,1,1,12,1,29,73.91754594762952,11.0,14,1.1413270096198054,1.1584545301683429,0,-0.0171275205485375,1.0,27.8
Caleb Raman,+912080588272,caleb.raman@yahoo.com,1,1,0,0,1,6,1,29,338.5968593027536,6.0,1,3.5635989884526174,3.479553072853101,0,0.08404591559951635,0.0,28.9
Baghyawati Ganesan,03518826941,baghyawati.ganesan@yahoo.com,0,0,0,0,1,1,0,30,153.19859377822274,1.0,3,0.6363818009615023,0.0,1,0.6363818009615023,0.0,29.8
Mohini Mangat,+919793387957,mohini.mangat@gmail.com,1,1,0,0,1,12,1,29,100.15813043665086,12.0,1,3.899715123776592,3.709854878880804,0,0.189860244895788,0.0,28.9
Yashvi Mannan,+919512125815,yashvi.mannan@gmail.com,1,1,0,0,1,1,1,32,276.0798821905471,1.0,1,1.4206371562255409,1.0431012098788572,1,0.37753594634668364,0.0,31.9
Vritti Kari,No Number Provided,vritti.kari@hotmail.com,0,1,0,1,0,6,0,27,179.55545728024344,6.0,6,3.393160619358797,3.2825153464860963,0,0.11064527287270076,0.0,26.5
Qabil Panchal,0802268879,qabil.panchal@hotmail.com,0,0,0,0,1,1,0,29,57.73000650327499,1.0,0,1.491187497274369,1.2468065037921203,1,0.24438099348224873,0.0,29.0
Kala Patel,01703321220,kala.patel@gmail.com,0,1,1,0,1,6,0,29,167.87521108842424,6.0,5,3.311349561669348,3.2434118858397034,0,0.06793767582964438,0.0,28.6
Faqid Kota,08754166068,faqid.kota@hotmail.com,1,1,0,1,1,6,0,27,31.805389694141468,6.0,3,0.8242833135958354,0.7957610492318434,0,0.028522264363991967,0.0,26.8
Irya Dubey,02946595290,irya.dubey@hotmail.com,0,1,0,0,1,1,0,28,242.36650054262452,1.0,15,1.4594094470402328,1.3203716289772194,0,0.1390378180630134,0.0,26.8
Lucky Singh,1492102271,lucky.singh@yahoo.com,0,1,1,1,1,6,1,27,159.1489236862274,5.0,3,3.5115681790970164,3.528885687703054,0,-0.017317508606037535,1.0,26.8
Netra Sharma,+919931521815,netra.sharma@yahoo.com,0,1,1,0,1,1,1,32,44.67250817468889,1.0,1,1.7716919792557118,1.6878719123797667,0,0.08382006687594501,0.0,31.9
William Ravel,4837723359,william.ravel@hotmail.com,0,1,0,0,1,12,1,32,87.85613947441288,12.0,1,0.0,0.0,0,0.0,0.0,31.9
Kamya Guha,6335199328,kamya.guha@gmail.com,0,1,0,0,1,12,0,32,131.114586424149,12.0,3,2.374935353569161,2.2650888942452982,0,0.10984645932386261,0.0,31.8
